id,name,emial,salary,department
1,krishna ,krishna123@gmail.com,FULL-STACK,90000
2,Aisha Singh ,aisha@gmial.com,ANALYST,90000
3,Nisha Roy ,nisha@gmail.com,FULL-STACK,56000
4,Nishat Singh ,nishant@gmail.com,ANALYST,90000
5,Komal Singh ,komal@gmail.com,FULL-STACK,88000
17,Bala Sankar ,balubala1606@gmail.com,FULL-STACK,50000
18,Jitesh Sudhakar Khadse ,jiteshkhadse984@gmail.com,BACKEND,50000
19,ewerrrrr ,test@gmail.com,MANAGER,90001
20,Badal fan ,abccc@gmail.com,FRONT-END,10001
21,Sonam Kashyap ,kasyap34@gmail.com,FRONT-END,56000
22,Ambar Rizvi ,abc@example.com,FULL-STACK,50000
17,Bala Sankar ,balubala1606@gmail.com,FULL-STACK,50000
18,Jitesh Sudhakar Khadse ,jiteshkhadse984@gmail.com,BACKEND,50000
19,ewerrrrr ,test@gmail.com,MANAGER,90001
20,Badal fan ,abccc@gmail.com,FRONT-END,10001
21,Sonam Kashyap ,kasyap34@gmail.com,FRONT-END,56000
22,Ambar Rizvi ,abc@example.com,FULL-STACK,50000
17,Bala Sankar ,balubala1606@gmail.com,FULL-STACK,50000
18,Jitesh Sudhakar Khadse ,jiteshkhadse984@gmail.com,BACKEND,50000
19,ewerrrrr ,test@gmail.com,MANAGER,90001
20,Badal fan ,abccc@gmail.com,FRONT-END,10001
21,Sonam Kashyap ,kasyap34@gmail.com,FRONT-END,56000
22,Ambar Rizvi ,abc@example.com,FULL-STACK,50000
17,Bala Sankar ,balubala1606@gmail.com,FULL-STACK,50000
18,Jitesh Sudhakar Khadse ,jiteshkhadse984@gmail.com,BACKEND,50000
19,ewerrrrr ,test@gmail.com,MANAGER,90001
20,Badal fan ,abccc@gmail.com,FRONT-END,10001
21,Sonam Kashyap ,kasyap34@gmail.com,FRONT-END,56000
22,Ambar Rizvi ,abc@example.com,FULL-STACK,50000
